Sentencas,Intencoes
Quais as outras camisetas que vocês possuem?,Catalogo
Certo o que mais vocês possuem em catálogo?,Catalogo
Queria também ver se vocês tem camiseta laranja,Catalogo
Salve por acaso vcs tem camiseta de manga comprida?,Catalogo
Ainda vende camiseta rosa?,Catalogo
Quanto tá a camiseta preta?,Catalogo
Quais os itens em estoque? ,Catalogo
Ainda possuem moletons?,Catalogo
Quero ver seus produtos,Catalogo
Vcs vendem camiseta?,Catalogo
Tem camiseta regata?,Catalogo
Quais as cores tem?,Catalogo
Posso ver o catalogo?,Catalogo
Qual o menu de roupas,Catalogo
Qual a lista de roupas da loja?,Catalogo
Ainda vendem camiseta regata?,Catalogo
Quero ver os tipos de roupas da loja,Catalogo
Quais são todos os moletons disponíveis?,Catalogo
Não sei o que comprar,Catalogo
Ainda estou indeciso no que levar,Catalogo
Quero conhecer a loja,Catalogo
Quero saber o que vocês vendem,Catalogo
A loja vende shorts?,Catalogo
Tem calça moletom?,Catalogo
Tem camiseta de time?,Catalogo
Chegou coisa nova?,Catalogo
Quais as roupas dessa temporada?,Catalogo
A lista de itens por favor,Catalogo
Gostaria de saber quais tipos de calça vendem aqui,Catalogo
Me vê o catálogo por favor,Catalogo
Mostra o catálogo ai ,Catalogo
Solta o catálogo,Catalogo
Será que ainda sobrou calça cargo?,Catalogo
Me mostra a lista de roupas da loja,Catalogo
Lista de roupas por favor,Catalogo
Quero conhecer os produtos vendidos,Catalogo
Quais são os produtos da loja?,Catalogo
Quais os itens em catálogo?,Catalogo
Quais as peças a venda?,Catalogo
As peças em catálogo por favor,Catalogo
Qual mercadoria vocês vendem? ,Catalogo
Lista de mercadorias por favor,Catalogo
Quais os conjuntos a venda?,Catalogo
Quantos objetos disponiveis?,Catalogo
Quantos conjuntos disponíveis?,Catalogo
Qual o link para a lista de roupas?,Catalogo
Me envia o que tem disponivel por favor,Catalogo
Onde consigo as roupas a venda?,Catalogo
Gostaria de saber o catálogo disponível,Catalogo
Gostaria da lista de roupas a venda por favor,Catalogo
Gostaria de fazer uma reclamação,Reclamar
Aliás já fiz uma compra com vocês e não gostei muito do atendimento,Reclamar
Gostaria de dar um feedback sobre a loja,Reclamar
Também quero deixar uma sugestão,Reclamar
"Boa tarde, tive um problema com uma compra gostaria de fazer uma reclamação",Reclamar
Tive um contratempo com uma compra,Reclamar
Tive problemas com minha compra,Reclamar
Quero deixar minha opinião,Reclamar
